Denominazione,PartitaIVA,Sede legale completa,Settore Merceologico,Stato
STIMA SRL,03695410872,Zona Industriale IV Strada snc 95121 Catania CT,FOOD,Attivo
AGRUMIGEL SRL,01549800835,Via Prov.le Centineo-Portosalvo (C.da Girotta) snc 98051 Barcellona Pozzo di Gotto ME,FOOD,Attivo
THE GUARDIAN SRL,04664030873,Zona Industriale Strada 2 1 95121 Catania CT,ALTRO,Attivo
APSEMA (Università di Catania),02772010878,Via Antonino di Sangiuliano 257 95131 Catania CT,SANITA',Attivo
ORTOGEL SRL,00678650870,Contrada Santa Maria Poggiarelli snc 95041 Caltagirone CT,FOOD,Attivo
ANALISI CLINICHE AMENTA SRL,02231080819,Via Convento San Francesco di Paola 73 91100 Trapani TP,SANITA',Attivo
GRUTTADAURIA & CONSIGLIO AGRO DISTRIBUZIONI SRL,02004970857,Via Peralta - Zona Industriale 10 93100 Caltanissetta CL,FOOD,Attivo
ARA SOCIETÀ COOPERATIVA SOCIALE,05461910878,Contrada Abate Vitale snc 95033 Biancavilla CT,ALTRO,Attivo
BIOALMONDSICILIA SRL,05627680878,Piazza Attilio Castrogiovanni 11 95015 Linguaglossa CT,FOOD,Attivo
CONAL FOOD SRL,03731020792,Via degli Uliveti 49 88046 Lamezia Terme CZ,FOOD,Attivo
CENTRO CLINICO E DIAGNOSTICO G.B. MORGAGNI SRL,00248620874,Via del Bosco 105 95125 Catania CT,SANITA',Attivo
PL3 & PARTNERS SRL,04618690962,Viale Monza 259 20126 Milano MI,ALTRO,Attivo
SALUS MANGIALAVORI SRL,02010240790,Via San Giovanni Bosco snc 89900 Vibo Valentia VV,SANITA',Attivo
ROMOLO HOSPITAL SRL,02056980796,Via Napoli 6 88900 Crotone KR,SANITA',Attivo
LABOGEST SRL,01976890796,Via Kennedy 104 89852 Mileto VV,SANITA',Attivo
FONDAZIONE ISTITUTO G. GIGLIO DI CEFALÙ,05205490823,Contrada Pietrapollastra - Pisciotto snc 90015 Cefalù PA,SANITA',Attivo
DIAGNOSTICA MEDICA RESTIVO SCARL,02541500845,Via Regina Elena 46 92024 Canicattì AG,SANITA',Attivo
BT ITALIA SPA,04952121004,Via Tucidide 14 Torre 7 snc 20134 Milano MI,ALTRO,Attivo
CIEFFE DI VASQUEZ GIUSEPPE E MAUROVIC BRANCA SNC,00704910322,SNC snc Trieste TS,ALTRO,Attivo
COOPERATIVA SOCIALE PROMETEO ONLUS,06260900821,Largo Casa Santa 22 snc Partinico PA,SANITA',Attivo
AZIENDA OSPEDALIERA PAPARDO,03051880833,Contrada Papardo snc 98158 Messina ME,SANITA',Attivo
VILLA CHIARA SRL,02228000879,Via del Bosco 243 95030 Mascalucia CT,SANITA',Attivo
LABORATORIO ANALISI FORNAROTTO,01166750867,Via Colajanni 2 snc Enna EN,SANITA',Attivo
SICULA COMPOST SRL,05472300879,Via Salvatore Tomaselli 41 95124 Catania CT,ALTRO,Attivo
DIGITAL UNIFORMS SRL,12439371001,Via Mazzini 87 07041 Alghero SS,ALTRO,Attivo
XENIA SALUS SRL,06363880821,Piazza Don Bosco 6 90143 Palermo PA,SANITA',Attivo
LILT ASSOCIAZIONE METROPOLITANA DI CATANIA,03994720872,Via Palermo 632 c/o Hospice Giovanni Paolo II snc 95122 Catania CT,SANITA',Attivo
SENTIERO PER LA VITA SRL,04779150822,Via degli Elimi 89 C/da Sasi snc 91013 Calatafimi-Segesta TP,SANITA',Attivo
LABORATORIO ANALISI IL NUCLEO SAS,01158460863,Via Padova 15 94019 Valguarnera Caropepe EN,SANITA',Attivo
CASA DI CURA MUSUMECI GECAS,03381600877,Via dell'Autonomia 57/a 95030 Gravina di Catania CT,SANITA',Attivo
SOMERCOM SRL,03400520874,Via Martoglio Prima Traversa 4 snc Viagrande CT,ALTRO,Attivo
TEO SRL,02096570805,Via Paolo Pellicano 14 89128 Reggio Calabria RC,SANITA',Attivo
SUD MARMI SRL,00594340812,SNC snc Trapani TP,ALTRO,Attivo
PERLA MARMI SRL,02107900819,Via Mocata snc 91015 Custonaci TP,ALTRO,Attivo
CHECK-UP LABORATORIO FRANZONE SAS,01050080868,Via Circonvallazione 57 94011 Agira EN,SANITA',Attivo
SALVIA FARMACEUTICI SRL,02851930871,Via Mario Tosto 3/5 snc Valverde CT,ALTRO,Attivo
TERME DI GALATRO SRL,03089980803,Viale delle Terme 1 89054 Galatro RC,ALTRO,Attivo
INTERMEDICA DI G. LO GIUDICE E C SAS,03761410822,Via Ciullo d'Alcamo 17 90143 Palermo PA,ALTRO,Attivo
NEW LIFE,DA_CERCARE,SNC snc Balestrate PA,ALTRO,Attivo
CASA ANNUNZIATA,DA_CERCARE,SNC snc Reggio Calabria RC,SANITA',Attivo
ANNUNZIATA,DA_CERCARE,SNC snc Reggio Calabria RC,SANITA',Attivo
