row,denominazione,partita_iva,status,settore,result,tenant_id,message
2,"STIMA SRL",03695410872,active,alimentare,created,30,OK
3,"AGRUMIGEL SRL",01549800835,active,alimentare,created,31,OK
4,"THE GUARDIAN SRL",04664030873,active,altro,created,32,OK
5,"APSEMA (Università di Catania)",02772010878,active,sanita,created,33,OK
6,"ORTOGEL SRL",00678650870,active,alimentare,created,34,OK
7,"ANALISI CLINICHE AMENTA SRL",02231080819,active,sanita,created,35,OK
8,"GRUTTADAURIA & CONSIGLIO AGRO DISTRIBUZIONI SRL",02004970857,active,alimentare,created,36,OK
9,"ARA SOCIETÀ COOPERATIVA SOCIALE",05461910878,active,altro,created,37,OK
10,"BIOALMONDSICILIA SRL",05627680878,active,alimentare,created,38,OK
11,"CONAL FOOD SRL",03731020792,active,alimentare,created,39,OK
12,"CENTRO CLINICO E DIAGNOSTICO G.B. MORGAGNI SRL",00248620874,active,sanita,created,40,OK
13,"PL3 & PARTNERS SRL",04618690962,active,altro,created,41,OK
14,"SALUS MANGIALAVORI SRL",02010240790,active,sanita,created,42,OK
15,"ROMOLO HOSPITAL SRL",02056980796,active,sanita,created,43,OK
16,"LABOGEST SRL",01976890796,active,sanita,created,44,OK
17,"FONDAZIONE ISTITUTO G. GIGLIO DI CEFALÙ",05205490823,active,sanita,created,45,OK
18,"DIAGNOSTICA MEDICA RESTIVO SCARL",02541500845,active,sanita,created,46,OK
19,"BT ITALIA SPA",04952121004,active,altro,created,47,OK
20,"CIEFFE DI VASQUEZ GIUSEPPE E MAUROVIC BRANCA SNC",00704910322,active,altro,failed_address_parse,,"Sede legale troppo corta"
21,"COOPERATIVA SOCIALE PROMETEO ONLUS",06260900821,active,sanita,failed_address_parse,,"CAP non trovato"
22,"AZIENDA OSPEDALIERA PAPARDO",03051880833,active,sanita,created,48,OK
23,"VILLA CHIARA SRL",02228000879,active,sanita,created,49,OK
24,"LABORATORIO ANALISI FORNAROTTO",01166750867,active,sanita,failed_address_parse,,"CAP non trovato"
25,"SICULA COMPOST SRL",05472300879,active,altro,created,50,OK
26,"DIGITAL UNIFORMS SRL",12439371001,active,altro,created,51,OK
27,"XENIA SALUS SRL",06363880821,active,sanita,created,52,OK
28,"LILT ASSOCIAZIONE METROPOLITANA DI CATANIA",03994720872,active,sanita,created,53,OK
29,"SENTIERO PER LA VITA SRL",04779150822,active,sanita,created,54,OK
30,"LABORATORIO ANALISI IL NUCLEO SAS",01158460863,active,sanita,created,55,OK
31,"CASA DI CURA MUSUMECI GECAS",03381600877,active,sanita,created,56,OK
32,"SOMERCOM SRL",03400520874,active,altro,failed_address_parse,,"CAP non trovato"
33,"TEO SRL",02096570805,active,sanita,created,57,OK
34,"SUD MARMI SRL",00594340812,active,altro,failed_address_parse,,"Sede legale troppo corta"
35,"PERLA MARMI SRL",02107900819,active,altro,created,58,OK
36,"CHECK-UP LABORATORIO FRANZONE SAS",01050080868,active,sanita,created,59,OK
37,"SALVIA FARMACEUTICI SRL",02851930871,active,altro,failed_address_parse,,"CAP non trovato"
38,"TERME DI GALATRO SRL",03089980803,active,altro,created,60,OK
39,"INTERMEDICA DI G. LO GIUDICE E C SAS",03761410822,active,altro,created,61,OK
40,"NEW LIFE",DA_CERCARE,active,altro,skipped_missing_piva,,"Partita IVA mancante/DA_CERCARE"
41,"CASA ANNUNZIATA",DA_CERCARE,active,sanita,skipped_missing_piva,,"Partita IVA mancante/DA_CERCARE"
42,ANNUNZIATA,DA_CERCARE,active,sanita,skipped_missing_piva,,"Partita IVA mancante/DA_CERCARE"
